technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.9,Indium is a key element in ITO transparent conductive coatings critical for OLED touch and display function; industry standard with rare substitutes.,811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.9,Indium is a key element in ITO transparent conductive coatings critical for OLED touch and display function; industry standard with rare substitutes.,811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.9,Indium is a key element in ITO transparent conductive coatings critical for OLED touch and display function; industry standard with rare substitutes.,811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Indium,0.9,Indium is a key element in ITO transparent conductive coatings critical for OLED touch and display function; industry standard with rare substitutes.,811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Silver,0.65,"Silver is often used in cathode electrodes due to high conductivity but can be substituted with aluminum or other metals, leading to moderate confidence.",710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Silver,0.65,"Silver is often used in cathode electrodes due to high conductivity but can be substituted with aluminum or other metals, leading to moderate confidence.",710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Silver,0.65,"Silver is often used in cathode electrodes due to high conductivity but can be substituted with aluminum or other metals, leading to moderate confidence.",710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Silver,0.65,"Silver is often used in cathode electrodes due to high conductivity but can be substituted with aluminum or other metals, leading to moderate confidence.",710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,User Interface Module (Display and Keypad/Touchscreen),0.95,"Essential for user interface, universally present as a separate procured unit in all smartphones.",Silver,0.65,"Silver is often used in cathode electrodes due to high conductivity but can be substituted with aluminum or other metals, leading to moderate confidence.",710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Lithium,0.95,"Lithium is the primary energy storage element in lithium-ion batteries, absolutely essential with no commercial alternatives.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Lithium,0.95,"Lithium is the primary energy storage element in lithium-ion batteries, absolutely essential with no commercial alternatives.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Lithium,0.95,"Lithium is the primary energy storage element in lithium-ion batteries, absolutely essential with no commercial alternatives.",280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Lithium,0.95,"Lithium is the primary energy storage element in lithium-ion batteries, absolutely essential with no commercial alternatives.",280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Lithium,0.95,"Lithium is the primary energy storage element in lithium-ion batteries, absolutely essential with no commercial alternatives.",280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Cobalt,0.85,"Cobalt is used in cathode materials for energy density and stability in lithium-ion chemistries, standard though some alternatives exist.",810510,CONGO,METRIC TONS,170000.0,73.91,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Cobalt,0.85,"Cobalt is used in cathode materials for energy density and stability in lithium-ion chemistries, standard though some alternatives exist.",810510,INDONESIA,METRIC TONS,17000.0,7.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Cobalt,0.85,"Cobalt is used in cathode materials for energy density and stability in lithium-ion chemistries, standard though some alternatives exist.",810510,RUSSIA,METRIC TONS,8800.0,3.83,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Cobalt,0.85,"Cobalt is used in cathode materials for energy density and stability in lithium-ion chemistries, standard though some alternatives exist.",810510,OTHER,METRIC TONS,6600.0,2.87,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Cobalt,0.85,"Cobalt is used in cathode materials for energy density and stability in lithium-ion chemistries, standard though some alternatives exist.",810510,AUSTRALIA,METRIC TONS,4600.0,2.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Nickel,0.8,"Nickel is a critical cathode component in many lithium-ion battery cathodes, commonly used but alternative cathode compositions exist.",750110,INDONESIA,METRIC TONS,1800000.0,50.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Nickel,0.8,"Nickel is a critical cathode component in many lithium-ion battery cathodes, commonly used but alternative cathode compositions exist.",750110,PHILIPPINES,METRIC TONS,400000.0,11.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Nickel,0.8,"Nickel is a critical cathode component in many lithium-ion battery cathodes, commonly used but alternative cathode compositions exist.",750110,OTHER,METRIC TONS,380000.0,10.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Nickel,0.8,"Nickel is a critical cathode component in many lithium-ion battery cathodes, commonly used but alternative cathode compositions exist.",750110,NEW CALEDONIA,METRIC TONS,230000.0,6.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Nickel,0.8,"Nickel is a critical cathode component in many lithium-ion battery cathodes, commonly used but alternative cathode compositions exist.",750110,RUSSIA,METRIC TONS,200000.0,5.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Copper,0.9,"Copper acts as the anode current collector and internal conductor in all lithium-ion batteries, universally required.",740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Copper,0.9,"Copper acts as the anode current collector and internal conductor in all lithium-ion batteries, universally required.",740100,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Copper,0.9,"Copper acts as the anode current collector and internal conductor in all lithium-ion batteries, universally required.",740100,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Copper,0.9,"Copper acts as the anode current collector and internal conductor in all lithium-ion batteries, universally required.",740100,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Copper,0.9,"Copper acts as the anode current collector and internal conductor in all lithium-ion batteries, universally required.",740100,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Aluminum,0.85,"Aluminum is standard as cathode current collector and casing material, widely used with few substitutes.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Aluminum,0.85,"Aluminum is standard as cathode current collector and casing material, widely used with few substitutes.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Aluminum,0.85,"Aluminum is standard as cathode current collector and casing material, widely used with few substitutes.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Aluminum,0.85,"Aluminum is standard as cathode current collector and casing material, widely used with few substitutes.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Aluminum,0.85,"Aluminum is standard as cathode current collector and casing material, widely used with few substitutes.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Graphite,0.9,"Graphite is the dominant anode active material enabling lithium intercalation, essential in almost all commercial lithium-ion batteries.",380110,CHINA,METRIC TONS,1230000.0,76.88,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Graphite,0.9,"Graphite is the dominant anode active material enabling lithium intercalation, essential in almost all commercial lithium-ion batteries.",380110,MADAGASCAR,METRIC TONS,100000.0,6.25,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Graphite,0.9,"Graphite is the dominant anode active material enabling lithium intercalation, essential in almost all commercial lithium-ion batteries.",380110,MOZAMBIQUE,METRIC TONS,96000.0,6.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Graphite,0.9,"Graphite is the dominant anode active material enabling lithium intercalation, essential in almost all commercial lithium-ion batteries.",380110,BRAZIL,METRIC TONS,73000.0,4.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Power Supply Module,0.95,"Critical for portable power, always a distinct replaceable component with separate supply chain.",Graphite,0.9,"Graphite is the dominant anode active material enabling lithium intercalation, essential in almost all commercial lithium-ion batteries.",380110,"KOREA, REPUBLIC OF",METRIC TONS,27000.0,1.69,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,"Copper is the principal conductive material in printed circuit boards, used for traces and interconnects; universally essential.",740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,"Copper is the principal conductive material in printed circuit boards, used for traces and interconnects; universally essential.",740100,CHILE,THOUSAND METRIC TONS,5000.0,10.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,"Copper is the principal conductive material in printed circuit boards, used for traces and interconnects; universally essential.",740100,OTHER,THOUSAND METRIC TONS,3100.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,"Copper is the principal conductive material in printed circuit boards, used for traces and interconnects; universally essential.",740100,CONGO,THOUSAND METRIC TONS,2500.0,5.1,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Copper,0.95,"Copper is the principal conductive material in printed circuit boards, used for traces and interconnects; universally essential.",740100,PERU,THOUSAND METRIC TONS,2600.0,5.31,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Epoxy resins,0.9,"Epoxy resins form the matrix of PCB substrates (e.g., FR4) providing mechanical strength and electrical insulation; industry standard.",390730,Germany,metric tons,0.0,30.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Epoxy resins
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Epoxy resins,0.9,"Epoxy resins form the matrix of PCB substrates (e.g., FR4) providing mechanical strength and electrical insulation; industry standard.",390730,Japan,metric tons,0.0,25.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Epoxy resins
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Epoxy resins,0.9,"Epoxy resins form the matrix of PCB substrates (e.g., FR4) providing mechanical strength and electrical insulation; industry standard.",390730,United States,metric tons,0.0,18.0,0.7,LLM fallback cache (previously computed) - no USGS data available for Epoxy resins
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Epoxy resins,0.9,"Epoxy resins form the matrix of PCB substrates (e.g., FR4) providing mechanical strength and electrical insulation; industry standard.",390730,China,metric tons,0.0,15.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Epoxy resins
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Epoxy resins,0.9,"Epoxy resins form the matrix of PCB substrates (e.g., FR4) providing mechanical strength and electrical insulation; industry standard.",390730,South Korea,metric tons,0.0,9.0,0.6,LLM fallback cache (previously computed) - no USGS data available for Epoxy resins
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.9,Fiberglass reinforcement in PCB laminates provides mechanical strength and thermal stability; standard in PCB manufacturing.,701939,China,metric tons,0.0,55.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Fiberglass
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.9,Fiberglass reinforcement in PCB laminates provides mechanical strength and thermal stability; standard in PCB manufacturing.,701939,United States,metric tons,0.0,15.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Fiberglass
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.9,Fiberglass reinforcement in PCB laminates provides mechanical strength and thermal stability; standard in PCB manufacturing.,701939,India,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Fiberglass
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.9,Fiberglass reinforcement in PCB laminates provides mechanical strength and thermal stability; standard in PCB manufacturing.,701939,"Europe (Germany, France, Italy aggregated)",metric tons,0.0,12.0,0.7,LLM fallback cache (previously computed) - no USGS data available for Fiberglass
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Fiberglass,0.9,Fiberglass reinforcement in PCB laminates provides mechanical strength and thermal stability; standard in PCB manufacturing.,701939,Japan,metric tons,0.0,8.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Fiberglass
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Tin,0.8,"Tin is widely used in PCB surface finishes (e.g., solder coatings), providing corrosion resistance and solderability; commonly used with some alternatives.",800110,CHINA,METRIC TONS,68000.0,23.45,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Tin,0.8,"Tin is widely used in PCB surface finishes (e.g., solder coatings), providing corrosion resistance and solderability; commonly used with some alternatives.",800110,BURMA,METRIC TONS,54000.0,18.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Tin,0.8,"Tin is widely used in PCB surface finishes (e.g., solder coatings), providing corrosion resistance and solderability; commonly used with some alternatives.",800110,INDONESIA,METRIC TONS,52000.0,17.93,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Tin,0.8,"Tin is widely used in PCB surface finishes (e.g., solder coatings), providing corrosion resistance and solderability; commonly used with some alternatives.",800110,PERU,METRIC TONS,23000.0,7.93,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Tin,0.8,"Tin is widely used in PCB surface finishes (e.g., solder coatings), providing corrosion resistance and solderability; commonly used with some alternatives.",800110,CONGO,METRIC TONS,19000.0,6.55,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Nickel,0.75,Nickel is often part of surface finishes and plating to improve corrosion resistance on PCB pads; common but some substitutes exist.,750110,INDONESIA,METRIC TONS,1800000.0,50.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Nickel,0.75,Nickel is often part of surface finishes and plating to improve corrosion resistance on PCB pads; common but some substitutes exist.,750110,PHILIPPINES,METRIC TONS,400000.0,11.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Nickel,0.75,Nickel is often part of surface finishes and plating to improve corrosion resistance on PCB pads; common but some substitutes exist.,750110,OTHER,METRIC TONS,380000.0,10.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Nickel,0.75,Nickel is often part of surface finishes and plating to improve corrosion resistance on PCB pads; common but some substitutes exist.,750110,NEW CALEDONIA,METRIC TONS,230000.0,6.39,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Printed Circuit Board (PCB) Assembly,0.9,"Core electronics platform, standard across all designs though specific implementation varies.",Nickel,0.75,Nickel is often part of surface finishes and plating to improve corrosion resistance on PCB pads; common but some substitutes exist.,750110,RUSSIA,METRIC TONS,200000.0,5.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Optical Assembly (germanium Lens Or Multi-lens Ir Objective),0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.9,Glass is essential for lens elements providing optical clarity and durability; universally used in camera lenses.,700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Optical Assembly (germanium Lens Or Multi-lens Ir Objective),0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.9,Glass is essential for lens elements providing optical clarity and durability; universally used in camera lenses.,700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Optical Assembly (germanium Lens Or Multi-lens Ir Objective),0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.9,Glass is essential for lens elements providing optical clarity and durability; universally used in camera lenses.,700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Optical Assembly (germanium Lens Or Multi-lens Ir Objective),0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.9,Glass is essential for lens elements providing optical clarity and durability; universally used in camera lenses.,700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Optical Assembly (germanium Lens Or Multi-lens Ir Objective),0.9,"Standard feature in all modern smartphones, procured as complete assembly.",Glass,0.9,Glass is essential for lens elements providing optical clarity and durability; universally used in camera lenses.,700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
